Ticket_Number,Product_Code,Brand,CAT,BU,SKU_Name,Mapping_Status
5802282-20260303-132815,13722293,IN CPW : Munch Choco Fills,BREAKFAST CEREAL,NBC,MUNCH Cereal Choco Fills 216x17g IN,Exact Product Code Match
5802282-20260120-121628,12585137,IN NSB : Lactogen 4,INFANT NUTRITION,NN,LACTOGEN PRO 4 BIB 24x400g IN,Exact Product Code Match
5802282-20260110-161649,12595301,IN CUL : Sauces,CULINARY,F&B,MAGGI Sauce NONG 24x485g N1 IN,Exact Product Code Match
5802282-20260108-125926,13679901,IN CUL : Noodles,CULINARY,F&B,MAGGI 2-MASALA 96*75G,Exact Product Code Match
5802282-20260108-130227,,Not Available,Not Available,Not Available,KIT KAT TAB CARAMEL12(12*50G),Not Available
601550-20260108-131342,,Not Available,Not Available,Not Available,,Not Available
601550-20260108-131546,,Not Available,Not Available,Not Available,,Not Available
5257100-20260403-115419,12312522,IN C&B : Nescafe Frappe Premix - FS,NP,NP,,Exact Product Code Match
7442727-20260212-124726,13718181,IN C&C : Kitkat,CHOCOLATE,F&B,,Exact Product Code Match
7447235-20260520-113330,,Not Available,Not Available,Not Available,WHEAT APPLE 400G DESCRIPTION: ONE PIECE OF WHEAT APPLE 400G,Not Available
7447235-20260509-140408,,Not Available,Not Available,Not Available,EVERYDAY DAIRY CREAMER 400G DESCRIPTION: ONE,Not Available
7447235-20260506-152425,,Not Available,Not Available,Not Available,NESCAFE GOLD BLEND 90G DESCRIPTION : ONE,Not Available
7447235-20260425-114712,,Not Available,Not Available,Not Available,MAGGI CHKN 76G DESCRIPTION: ONE,Not Available
7447235-20260408-141537,,Not Available,Not Available,Not Available,HAZELNUT CRUNCH 120G DESCRIPTION,Not Available
7447235-20260325-112358,,Not Available,Not Available,Not Available,kit kat tablet rich choc 10(6*150g) Description : 1case,Not Available
7459087-20260622-164048,14515595,IN C&B : Nescafe Sunrise Large Packs,BEVERAGES,F&B,Product: NESCAFE SUNRISE Jar 30x45g NR4 30 Off IN,Exact Product Code Match
